 2017-06-25 22:59:27,973 [P2932/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.9 application starting on DESKTOP-Q3K3PAT
 2017-06-25 22:59:28,153 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-06-25 22:59:28,224 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 70ms)
 2017-06-25 22:59:28,419 [P2932/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-06-25 22:59:28,423 [P2932/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-06-25 22:59:28,438 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-06-25 22:59:29,293 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 855ms)
 2017-06-25 22:59:29,684 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-06-25 22:59:29,686 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
 2017-06-25 22:59:29,687 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-06-25 22:59:29,692 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 3ms)
 2017-06-25 22:59:29,741 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-06-25 22:59:29,788 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 46ms)
 2017-06-25 22:59:29,789 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-06-25 22:59:29,810 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 20ms)
 2017-06-25 22:59:30,331 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-06-25 22:59:30,333 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 1ms)
 2017-06-25 22:59:30,334 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-06-25 22:59:30,335 [P2932/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 1ms)
 2017-06-25 22:59:33,860 [P2932/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-06-25 22:59:34,744 [P2932/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-06-25 22:59:35,298 [P2932/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-06-25 22:59:35,497 [P2932/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-06-25 22:59:35,542 [P2932/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 7809ms)
 2017-06-25 22:59:41,888 [P2932/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:50838/umbraco (UmbracoModule request)
 2017-06-25 22:59:43,055 [P2932/D2/T10] INFO  umbraco.content - Load Xml from file...
 2017-06-25 22:59:43,081 [P2932/D2/T10] INFO  umbraco.content - Loaded Xml from file.
 2017-06-25 22:59:44,582 [P2932/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-06-25 22:59:44,585 [P2932/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 3ms)
 2017-06-25 22:59:46,790 [P2932/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-06-25 22:59:46,793 [P2932/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 3ms)
 2017-06-25 22:59:47,215 [P2932/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.cms.businesslogic.macro.IMacroEngine
 2017-06-25 22:59:47,217 [P2932/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 0 (took 2ms)
